IATA_Code,Airport,City
AAA,Anaa,
AAB,Arrabury Airport,Tanbar
AAC,El Arish International Airport,Arish
AAD,Adado Airport,Adado
AAE,Les Salines Airport,El Hadjar
AAF,Apalachicola Regional,Apalachicola
AAG,Arapoti,Jaguariaiva
AAH,Aachen/Merzbruck,
AAI,Arraias,Campos Belos
AAJ,Cayana Airstrip,Kajana
AAK,Aranuka,
AAL,Aalborg Airport,Vadum
AAM,Mala Mala,
AAN,Al Ain Airport,
AAO,Anaco,Anaco
AAP,Aji Pangeran Tumenggung Pranoto International Airport,
AAQ,Anapa Airport,Anapa
AAR,Aarhus Airport,Ebeltoft
AAS,Apalapsili,
AAT,Altay Airport,Awiytan
AAU,Asau,Asau
AAV,Allah Valley,Surallah
AAW,Abbottabad,Abbottabad
AAX,Araxa Airport,Araxa
AAY,Al Ghaydah,Al Ghayzah
AAZ,Quetzaltenango,Olintepeque
ABA,Abakan Airport,Podsineye
ABB,Asaba International Airport,Asaba
ABC,Los Llanos,
ABD,Abadan Airport,Abadan
ABE,Lehigh Valley International Airport,Catasauqua
ABF,Abaiang,Buota Village
ABG,Abingdon,
ABH,Alpha,
ABI,Abilene Regional Airport,
ABJ,Felix Houphouet Boigny Airport,Abidjan
ABK,Kabri Dar,
ABL,Ambler Airport,
ABM,Northern Peninsula Airport,
ABN,Albina,
ABO,Aboisso,Aboisso
ABP,Atkamba,
ABQ,Albuquerque International Sunport,Albuquerque
ABR,Aberdeen Municipal Airport,Aberdeen
ABS,Abu Simbel,
ABT,Al-Aqiq Airport,Al Bahah
ABU,Haliwen Airport,Atambua
ABV,Nnamdi Azikiwe International Airport,Madala
ABW,Abau,
ABX,Albury Airport,East Albury
ABY,Southwest Georgia Regional Airport,
ABZ,Aberdeen International Airport,Dyce
ACA,Acapulco International Airport,10 de Abril
ACB,Antrim County,Bellaire
ACC,Kotoka International Airport,Accra
ACD,Acandi,
ACE,Lanzarote Airport,Tias
ACF,Alaer Talimu Airport,Aral
ACH,Altenrhein Airport,Rheineck
ACI,Alderney Airport,Beaumont-Hague
ACJ,Anuradhapura,Anuradhapura
ACK,Nantucket Memorial Airport,Nantucket
ACL,Aguaclara,Sabanalarga
